sale_id,customer_name,product_name,product_category,quantity,price,discount,sale_date,payment_method,sales_rep_name,customer_email,customer_phone,shipping_address,order_status
23,Brandice Bendan,Appetizer - Smoked Salmon / Dill,clothing,69,417.03,0.99,8/22/2020,credit card,Claudine Lawlor,clawlorm@wikispaces.com,787-645-5499,25759 Superior Park,pending
24,Helene Riddoch,Breakfast Quesadillas,electronics,13,852.97,0.39,11/11/2020,cash,Brandea Woodson,bwoodsonn@sphinn.com,228-951-7188,7496 Anderson Plaza,pending
25,Fredericka Milesop,Thyme - Dried,clothing,91,810.86,0.08,10/23/2020,debit card,Effie Marie,emarieo@myspace.com,159-543-5227,1 Sutherland Parkway,pending
26,Frazer MacPaik,"Lemonade - Strawberry, 591 Ml",electronics,93,653.97,0.55,9/19/2020,debit card,Karol Russo,krussop@mysql.com,326-196-1218,28507 Sheridan Road,pending
27,Reeta Barnham,"Wine - White, Ej Gallo",electronics,50,119.18,0.84,11/3/2020,cash,Veronike Magrane,vmagraneq@pagesperso-orange.fr,644-147-3338,4759 Duke Center,delivered
28,Madlin Aistrop,"Pork - Loin, Boneless",electronics,3,379.18,0.98,5/25/2021,debit card,Raphaela Messier,rmessierr@g.co,689-387-8123,3 Towne Center,shipped
29,Rikki Colqueran,Mix Pina Colada,clothing,34,820.99,0.7,5/30/2020,credit card,Nat Lorenc,nlorencs@altervista.org,519-996-5487,2773 Aberg Hill,delivered
30,Rea Scanderet,Pear - Asian,clothing,45,537.51,0.5,6/15/2021,debit card,Monti Elsbury,melsburyt@csmonitor.com,805-982-5041,051 Forest Dale Parkway,delivered
31,Joyan Robecon,Wine - Chateau Bonnet,food,25,737.92,0.08,5/3/2020,debit card,Bevvy Windross,bwindrossu@mozilla.org,574-841-1194,323 Russell Center,shipped
32,Zelig Ferns,Lettuce - Baby Salad Greens,clothing,82,393.12,0.4,2/6/2021,debit card,Guthrie Vasiliev,gvasilievv@accuweather.com,176-170-1129,67423 Schiller Pass,pending
33,Nevile Foulkes,Muffin Puck Ww Carrot,clothing,15,22.14,0.92,1/1/2020,credit card,Belle Terzo,bterzow@trellian.com,434-378-6329,155 Parkside Road,shipped
34,Austen MacVanamy,Wine - Riesling Dr. Pauly,food,19,710.58,0.17,9/5/2021,debit card,Hazel Velte,hveltex@globo.com,811-163-6787,466 Raven Court,shipped
35,Ayn Geeves,Kumquat,clothing,82,107.18,0.69,3/31/2021,credit card,Cherey Drewe,cdrewey@simplemachines.org,742-262-9285,3957 Kinsman Park,shipped
36,Ashla Gogan,Appetizer - Southwestern,food,65,976.61,0.52,11/27/2021,cash,Ritchie Monkton,rmonktonz@constantcontact.com,303-427-7328,7 Daystar Park,shipped
37,Kerry Castille,Dry Ice,clothing,28,653.57,0.21,7/29/2020,debit card,Culley Beltzner,cbeltzner10@nbcnews.com,834-329-6732,37974 Everett Plaza,pending
38,Jodie Shepard,Beef - Bresaola,food,88,269.63,0.96,9/11/2020,credit card,Urson Guslon,uguslon11@deliciousdays.com,878-710-6924,39164 Forest Dale Center,delivered
39,Maryl McVey,Pants Custom Dry Clean,clothing,47,88.3,0.35,8/26/2021,credit card,Kay Sedman,ksedman12@blogspot.com,750-672-1170,62 Browning Road,pending
40,Lyndsay Bembrick,Squid - U - 10 Thailand,clothing,57,220.67,0.65,6/15/2020,credit card,Andrej Treneer,atreneer13@princeton.edu,160-467-6547,4474 Texas Circle,delivered
41,Dana Eustanch,Soup Campbells Split Pea And Ham,electronics,100,585.97,0.95,11/9/2021,credit card,Rooney Arnauduc,rarnauduc14@unc.edu,965-453-4372,3263 Hauk Place,delivered
42,Lynda Stopper,"Lamb - Whole, Fresh",food,43,371.18,0.87,3/5/2020,debit card,Ilyssa Dunnan,idunnan15@google.ca,177-114-2559,91 Cody Hill,delivered
43,Ralf Kench,Flavouring - Orange,electronics,21,391.78,0.94,3/6/2020,debit card,Ailyn Pirie,apirie16@yellowbook.com,297-447-4893,02126 Hoard Lane,shipped
44,Dilly Eves,Puree - Mango,clothing,6,805.4,0.34,3/2/2020,credit card,Chelsea Le Friec,cle17@nsw.gov.au,272-950-2202,76821 Susan Hill,pending
45,Veriee St Clair,Soap - Pine Sol Floor Cleaner,clothing,10,57.49,0.37,9/23/2021,credit card,Buddy Noel,bnoel18@4shared.com,911-639-8807,2 Little Fleur Road,delivered
46,Alia Mazzei,Cleaner - Comet,electronics,9,207.14,0.76,7/20/2020,debit card,Cullen Neeves,cneeves19@wiley.com,102-558-9378,3 Canary Place,delivered
47,Read Goudie,Cassis,clothing,85,872.58,0.17,4/5/2020,credit card,Netti McFarlan,nmcfarlan1a@diigo.com,476-776-0406,62 Jay Center,shipped
48,Antons Worts,Bay Leaf Fresh,food,34,628.72,0.63,1/9/2021,credit card,Car Onians,conians1b@artisteer.com,218-389-5922,424 Village Hill,delivered
49,Haley Late,Devonshire Cream,electronics,79,828.34,0.6,9/25/2020,debit card,Moyra Mangan,mmangan1c@alibaba.com,115-116-1792,255 Sachs Lane,shipped
50,Francis Southway,Sugar - Crumb,electronics,50,595.91,0.15,6/23/2020,debit card,Ricardo Shier,rshier1d@adobe.com,218-524-9285,12 Rockefeller Trail,delivered
51,Nonnah Wanka,Catfish - Fillets,food,27,812.24,0.33,11/17/2021,credit card,Haskel Callway,hcallway1e@biglobe.ne.jp,284-712-0654,121 Jay Drive,delivered
52,Leese Stancliffe,Bread - Petit Baguette,clothing,91,849.06,0.11,8/4/2021,credit card,Augustin Hogben,ahogben1f@nymag.com,868-938-1173,39 Bultman Lane,shipped
53,Homerus Oluwatoyin,Soap - Hand Soap,electronics,27,305.04,0.34,12/15/2020,cash,Addie Harrold,aharrold1g@zimbio.com,353-239-2261,8 Dexter Place,delivered
54,Rudie Aiskovitch,Crush - Cream Soda,food,67,167.1,0.4,8/26/2020,cash,Dallas Kilday,dkilday1h@yellowbook.com,725-819-3842,689 Cambridge Park,delivered
55,Nicolea Gebhard,Plastic Arrow Stir Stick,electronics,80,184.64,0.87,1/17/2020,cash,Carolann Neeves,cneeves1i@springer.com,831-773-9918,793 Vidon Drive,shipped
56,Jemie Keitch,Bacardi Raspberry,clothing,51,723.69,0.1,12/27/2021,credit card,Fawne Wanne,fwanne1j@storify.com,984-416-9439,236 Northridge Hill,pending
57,Florenza Richardot,Red Currants,food,72,239.17,0.25,9/3/2020,credit card,Iona Jaquin,ijaquin1k@techcrunch.com,583-340-2903,900 Chinook Circle,pending
58,Nevin Wegman,Tea - Vanilla Chai,electronics,67,608.55,0.45,6/1/2021,debit card,Maximilian Eytel,meytel1l@51.la,930-992-6856,17233 Eliot Road,pending
59,Rebecka Toman,Wine - Shiraz South Eastern,electronics,73,788.93,0.96,8/22/2020,cash,Roanna Goodbanne,rgoodbanne1m@senate.gov,272-829-4921,8 North Road,delivered
60,Uriah Warbeys,Puree - Raspberry,electronics,80,988.32,0.59,11/11/2020,credit card,Magda Patillo,mpatillo1n@slideshare.net,379-314-8466,35086 Corben Plaza,pending
61,Kellia Jirieck,"Pepper - White, Whole",electronics,43,738.82,0.5,10/22/2021,credit card,Helyn Casin,hcasin1o@zdnet.com,882-639-3295,55596 Golden Leaf Drive,pending
62,Roderigo Cacacie,Bagel - Plain,food,38,483.89,0.25,5/9/2021,credit card,Bern Buttress,bbuttress1p@whitehouse.gov,920-156-7196,3 Farragut Street,delivered
63,Camellia Wormstone,Shrimp - Black Tiger 13/15,electronics,17,650.9,0.22,9/28/2020,cash,Louella Ughetti,lughetti1q@imageshack.us,110-612-5580,80 Mayfield Crossing,pending
64,Frasier Ennew,Cup - 8oz Coffee Perforated,electronics,1,601.06,0.02,9/5/2020,debit card,Maire Dummigan,mdummigan1r@about.me,805-142-9486,2 Linden Way,delivered
65,Vivi Winscomb,Duck - Whole,clothing,97,341.24,0.43,3/21/2021,credit card,Herve Margetson,hmargetson1s@imdb.com,181-233-6295,73359 Summit Crossing,delivered
66,Sybilla Muggeridge,Carbonated Water - Raspberry,clothing,72,225.71,0.26,10/1/2021,credit card,Flory Viste,fviste1t@jalbum.net,169-514-4649,9 Bunker Hill Parkway,delivered
67,Burnaby Iceton,Pork - Smoked Kassler,electronics,79,380.16,0.41,12/9/2021,cash,Lesli McLellan,lmclellan1u@prweb.com,741-202-3762,887 Buell Pass,shipped
68,Berkie Lamburne,Chickhen - Chicken Phyllo,electronics,59,949.57,0.45,4/30/2021,debit card,Kathe Prendiville,kprendiville1v@vk.com,343-769-7116,883 Dwight Parkway,shipped
69,Wilburt Messiter,Rabbit - Saddles,electronics,97,545.49,0.35,7/19/2021,debit card,Darcey Monard,dmonard1w@ask.com,496-504-0076,70500 Prairieview Street,pending
70,Valina Eickhoff,"Cod - Salted, Boneless",electronics,17,883.79,0.25,1/3/2020,cash,Andreas MacKomb,amackomb1x@dot.gov,195-610-1919,20658 Warrior Place,pending
71,Brade Bourthoumieux,Cheese - Oka,clothing,2,762.85,0.31,1/13/2021,credit card,Zabrina Stratford,zstratford1y@surveymonkey.com,797-703-3700,57805 Mallory Point,delivered
72,Loralyn Dawks,Icecream Bar - Del Monte,clothing,2,786.72,0.61,5/29/2021,debit card,Eddie Bletso,ebletso1z@ftc.gov,519-609-5319,2 Scott Way,pending
73,Chelsae Botton,Rabbit - Whole,electronics,43,859.53,0.82,10/14/2021,credit card,Natka Merrywether,nmerrywether20@home.pl,462-195-0702,6 Mendota Road,shipped
74,Clayborne Mc Andrew,Cheese - Parmigiano Reggiano,electronics,41,68.32,0.72,5/22/2020,credit card,Westleigh Cale,wcale21@blogspot.com,911-847-0890,69 Sutherland Alley,shipped
75,Antoinette Neissen,"Pork - Ham, Virginia",food,88,231.28,0.28,4/10/2020,cash,Gardie Howbrook,ghowbrook22@skyrock.com,629-995-5881,97702 Hovde Pass,delivered
76,Conni Furmage,Wine - Casillero Deldiablo,clothing,1,605.27,0.54,12/15/2021,debit card,Arvie Tarren,atarren23@elegantthemes.com,568-643-8851,817 Lakewood Plaza,pending
77,Immanuel McGahern,"Extract - Vanilla,artificial",clothing,45,279.63,0.18,5/3/2021,credit card,Audi Pattini,apattini24@google.de,919-501-0818,374 Blaine Junction,pending
78,Cecelia Fould,Sobe - Tropical Energy,clothing,79,517.76,0.47,4/29/2021,cash,Tamera Aslam,taslam25@zimbio.com,846-463-3804,34 Loomis Street,pending
79,Anderson Simson,Mussels - Frozen,clothing,20,647.64,0.54,5/28/2021,cash,Pet Stepney,pstepney26@feedburner.com,822-486-8135,43193 Armistice Circle,delivered
80,Eldin O'Flynn,Apple - Macintosh,clothing,10,97.62,0.45,7/26/2021,credit card,Fanny McGraffin,fmcgraffin27@ycombinator.com,981-506-1661,6896 Burning Wood Pass,pending
81,Mela Bostick,Potatoes - Fingerling 4 Oz,clothing,75,780.22,0.61,8/3/2020,cash,Xerxes Haggerston,xhaggerston28@house.gov,160-738-4781,50257 Bunker Hill Trail,delivered
82,Fidela Kretchmer,Longos - Grilled Veg Sandwiches,clothing,74,365.09,0.5,6/25/2021,cash,Brittney Gave,bgave29@aol.com,272-107-9654,05156 Maple Junction,delivered
83,Amye Ateggart,Uniform Linen Charge,clothing,76,389.15,0.43,12/8/2021,debit card,Joli De Antoni,jde2a@webmd.com,154-143-2302,55253 Basil Junction,shipped
84,Thalia Stalley,Soupcontfoam16oz 116con,clothing,58,965.63,0.08,10/14/2021,debit card,Neal Ayerst,nayerst2b@bing.com,789-595-3969,2 Eastwood Street,shipped
85,Aloin Lockley,Beer - Heinekin,electronics,23,978.33,0.83,5/13/2020,debit card,Gleda Rozier,grozier2c@diigo.com,586-852-3059,9 Summit Road,delivered
86,Georas Basketfield,Yeast Dry - Fermipan,clothing,66,171.92,0.82,2/27/2021,cash,Adela Kirkhouse,akirkhouse2d@google.fr,751-323-1363,76 Bobwhite Court,pending
87,Kailey Andersch,Lid Tray - 12in Dome,clothing,9,40.67,0.13,9/7/2021,credit card,Claire Etty,cetty2e@disqus.com,495-355-9588,621 Nova Avenue,pending
88,Douglas Huzzay,Cheese - La Sauvagine,electronics,49,811.14,0.15,11/9/2021,credit card,Cassie Van Hault,cvan2f@cisco.com,243-702-8470,09217 Holy Cross Lane,pending
89,Kellyann McGillacoell,Veal - Kidney,food,53,490.08,0.66,9/6/2021,debit card,Thacher Tregear,ttregear2g@oaic.gov.au,969-145-7089,9957 Moose Trail,pending
90,Ad Wilshire,Gelatine Leaves - Bulk,clothing,71,42.14,0.51,11/6/2020,cash,Kennie Tuerena,ktuerena2h@elegantthemes.com,869-586-6569,537 Oak Park,pending
91,Gwen Gaggen,"Vodka - Lemon, Absolut",electronics,98,953.62,0.14,4/12/2020,debit card,Florie Franken,ffranken2i@cbslocal.com,683-108-4666,8751 Calypso Hill,shipped
92,Benetta Dufty,Spring Roll Veg Mini,clothing,19,409.98,0.21,3/15/2021,debit card,Pauline Blackboro,pblackboro2j@paginegialle.it,694-595-1055,07 Kingsford Terrace,shipped
93,Ettore Trahar,Chips - Potato Jalapeno,clothing,63,631.81,0.38,2/21/2021,debit card,Kahaleel O'Downe,kodowne2k@yellowbook.com,422-716-7150,70 Montana Drive,delivered
94,Hendrick Kondratenko,Syrup - Monin - Passion Fruit,food,10,616.82,0.95,12/5/2021,cash,Flory Lushey,flushey2l@disqus.com,689-410-6539,76381 Brown Plaza,delivered
95,Lazar Jedrzej,"Soup - Campbells, Butternut",electronics,34,60.53,0.76,12/1/2020,debit card,Celisse Midlane,cmidlane2m@privacy.gov.au,134-488-2041,71 Esch Street,shipped
96,Farlay Dermot,"Shrimp, Dried, Small / Lb",clothing,34,399.64,0.89,4/10/2020,credit card,Felicio Moxted,fmoxted2n@myspace.com,732-611-2060,4 Barnett Circle,delivered
97,Nana De Meis,Soap - Mr.clean Floor Soap,clothing,88,242.29,0.75,9/1/2021,cash,Shirlee Hiddersley,shiddersley2o@slate.com,123-658-4539,057 Huxley Road,shipped
98,Elaine Erbain,Oil - Safflower,food,65,551.6,0.51,5/12/2021,credit card,Franklyn Lampett,flampett2p@ucsd.edu,613-100-1021,418 Messerschmidt Drive,delivered
99,Monti Youel,Shrimp - Black Tiger 16/20,electronics,93,224.49,0.34,10/25/2021,cash,Antonina Balogun,abalogun2q@mysql.com,620-955-3299,4720 Spaight Drive,pending
100,Thurstan Plastow,Okra,electronics,4,713.8,0.83,1/19/2020,debit card,Mikkel Kippen,mkippen2r@topsy.com,930-536-1716,6805 Paget Place,shipped
101,Lurlene Willmer,Bread - Italian Sesame Poly,food,99,302.87,0.46,2/15/2021,cash,Chrissy Rosander,crosander2s@shareasale.com,285-137-2946,79 Lukken Court,delivered
102,Arabele Liff,Flour - Cake,clothing,62,848.38,0.37,6/22/2020,credit card,Maure Offin,moffin2t@shareasale.com,647-884-0069,661 Bay Point,pending
103,Casper Petras,"Champagne - Brights, Dry",food,44,26.54,0.71,6/7/2020,cash,Tybi Brookz,tbrookz2u@wordpress.com,486-645-9539,011 Drewry Crossing,delivered
104,Jorgan Chambers,Lettuce - Spring Mix,electronics,93,889.09,0.02,3/29/2020,debit card,Friedrick Zanitti,fzanitti2v@gizmodo.com,414-304-8442,253 Hoard Hill,pending
105,Eveline Jeppe,Jicama,clothing,38,396.95,0.72,4/27/2021,cash,Nicholle Caston,ncaston2w@imdb.com,838-719-6914,6383 Florence Hill,pending
106,Meredeth Loche,Cheese - Swiss Sliced,clothing,79,178.35,0.76,12/3/2020,cash,Antoni Radleigh,aradleigh2x@goo.ne.jp,791-926-0098,48 Arrowood Parkway,delivered
107,Kylie Patzelt,Pear - Asian,food,7,238.85,0.49,9/27/2021,credit card,Mamie Suddaby,msuddaby2y@xrea.com,606-190-3757,16 Loftsgordon Way,delivered
108,Reade Boyda,Veal - Loin,electronics,33,577.51,0.36,11/14/2020,debit card,Cherlyn Beardsdale,cbeardsdale2z@booking.com,505-831-1376,726 Jenna Place,delivered
109,Helaine Carlett,Flower - Dish Garden,electronics,60,228.66,0.21,2/16/2021,credit card,Constancy Tunna,ctunna30@mac.com,965-407-0172,805 Magdeline Drive,shipped
110,Whitman Ferrero,Pie Box - Cello Window 2.5,clothing,55,428.49,0.81,11/16/2020,cash,Anjela Clubb,aclubb31@privacy.gov.au,372-486-7235,2539 Spohn Center,pending
111,Martin Guise,"Pasta - Lasagna, Dry",clothing,82,374.46,0.61,12/15/2020,cash,Cherrita Buckie,cbuckie32@paypal.com,114-361-0813,597 Forest Dale Way,delivered
112,Peyter Rhoades,Silicone Parch. 16.3x24.3,food,8,627.93,0.59,11/4/2021,cash,Harmony Cordova,hcordova33@photobucket.com,717-274-0693,33 Granby Way,shipped
113,Yardley Hellmore,Pork - Ham Hocks - Smoked,electronics,100,740.17,0.72,9/24/2021,cash,Wendi Gutcher,wgutcher34@ask.com,869-377-0389,287 Havey Court,shipped
114,Henri Strick,"Beef - Rouladin, Sliced",food,40,344.2,0.07,1/13/2020,debit card,Blithe Bird,bbird35@bing.com,315-913-2842,83 Dayton Center,pending
115,Dallas Andreacci,Lettuce - Baby Salad Greens,clothing,67,423.8,0.7,4/21/2020,credit card,Elfrieda Pucker,epucker36@i2i.jp,312-855-2866,72517 Nancy Terrace,delivered
116,Bond Paumier,Wine - Jafflin Bourgongone,electronics,91,462.78,0.82,3/5/2020,debit card,Judith Cadore,jcadore37@scribd.com,345-484-9268,1 Eagan Hill,delivered
117,Blinnie Timpany,Cheese - Camembert,clothing,80,361.56,0,8/27/2020,cash,Ashlee McEvon,amcevon38@w3.org,502-506-5686,28508 Duke Park,pending
118,Carlyn Iskower,Corn Shoots,clothing,61,481.4,0,4/9/2020,credit card,Riane Salsberg,rsalsberg39@weibo.com,922-550-9212,6 Shasta Parkway,delivered
119,Dudley Tole,Wine - Cotes Du Rhone Parallele,electronics,34,183.88,0.39,1/22/2020,debit card,Gwenny Nevins,gnevins3a@list-manage.com,590-288-1774,3 Bluestem Park,shipped
120,Patty McIver,"Chocolate - Milk, Callets",food,88,8.29,0.26,11/17/2021,cash,Ferrel Batchellor,fbatchellor3b@dell.com,548-513-8186,82 Mendota Alley,shipped
121,Hieronymus McWhin,Goat - Whole Cut,electronics,97,751.32,0.46,4/6/2021,debit card,Vladimir Enos,venos3c@census.gov,190-898-6852,03 Lakewood Street,pending
122,Ulrika Kimbley,Tea - Jasmin Green,electronics,19,102.49,0.71,5/31/2021,debit card,Asia Tinklin,atinklin3d@quantcast.com,680-312-0227,0 Grover Park,shipped
123,Kara-lynn Lemon,Olives - Morracan Dired,clothing,94,246.87,0.06,10/10/2020,cash,Malchy Pecey,mpecey3e@weibo.com,789-130-1341,715 High Crossing Street,pending
124,Piggy Marian,Mangostein,clothing,61,113.35,0.46,1/17/2020,debit card,Viva Pealing,vpealing3f@yale.edu,443-310-1684,0596 Raven Road,shipped
125,Linnea Pryell,Bread - Sour Sticks With Onion,clothing,53,306.34,0.01,12/13/2020,cash,Reid Tewelson,rtewelson3g@delicious.com,644-242-0132,49 Delaware Parkway,delivered
126,Bette-ann Emor,Energy - Boo - Koo,food,28,984.58,0.49,10/23/2021,credit card,Barbra d'Arcy,bdarcy3h@unicef.org,991-205-3036,5 Green Center,shipped
127,Libbie Darnborough,Table Cloth 81x81 Colour,clothing,80,867.49,0.92,6/13/2020,cash,Damien Ruperto,druperto3i@bloglines.com,775-979-1001,8 Graedel Hill,delivered
128,Antonella Easman,Tea - Grapefruit Green Tea,clothing,82,334.64,0.86,1/13/2021,debit card,Errick Springthorpe,espringthorpe3j@zdnet.com,691-258-6899,42 Bultman Pass,shipped
129,Whit Pietruszka,Chips Potato Reg 43g,electronics,45,482.68,0.58,7/27/2021,debit card,Ninon Lantuffe,nlantuffe3k@usnews.com,600-318-4737,380 Hanover Court,pending
130,Odelinda Maier,Soup Bowl Clear 8oz92008,electronics,17,521.04,0.19,1/14/2020,cash,Rosina Trye,rtrye3l@quantcast.com,846-758-5770,44 Arkansas Drive,delivered
131,Ardith Kullmann,Swiss Chard - Red,electronics,44,971.94,0.77,7/2/2021,credit card,Annie Dionisetto,adionisetto3m@exblog.jp,686-187-4258,58 Buena Vista Avenue,shipped
132,Dalenna Manjot,Muffin - Bran Ind Wrpd,electronics,35,917.89,0.75,4/26/2020,cash,Valma Belliss,vbelliss3n@networkadvertising.org,875-764-1383,7646 Hayes Plaza,delivered
133,Vick Boarder,Peppercorns - Green,electronics,10,756.2,0.24,4/25/2020,debit card,Slade Viggers,sviggers3o@ftc.gov,488-438-0201,4559 Main Park,delivered
134,Kinny Decort,Pork - Smoked Back Bacon,clothing,1,32.04,0.88,6/16/2021,credit card,Wilmar Calway,wcalway3p@cbc.ca,739-739-1902,34 Orin Plaza,shipped
135,Greg Gillan,Galliano,electronics,82,823.01,0.92,2/1/2021,credit card,Lydie Hills,lhills3q@whitehouse.gov,307-743-1472,8 Mosinee Street,shipped
136,Ezmeralda Postle,"Wine - Red, Antinori Santa",clothing,34,510.82,0.11,4/3/2020,debit card,Madlin Lynes,mlynes3r@unicef.org,228-827-1035,4 Hintze Avenue,shipped
137,Timothea Farquar,Dish Towel,clothing,73,627.88,1,7/12/2020,debit card,Van Pedrick,vpedrick3s@php.net,175-205-2438,169 Arizona Place,pending
138,Sargent Prinnett,Coffee Cup 12oz 5342cd,food,76,289.95,0.03,6/12/2020,debit card,Mervin MacRitchie,mmacritchie3t@weibo.com,617-605-9278,743 Coolidge Circle,pending
139,Karlens Ginity,Cabbage - Savoy,electronics,60,804.76,0.14,8/27/2021,cash,Margie Burrill,mburrill3u@pen.io,246-855-5168,72 Raven Alley,pending
140,Von Dunster,Sprouts - Onion,food,44,667.64,0.39,2/27/2021,debit card,Bobette Britney,bbritney3v@sogou.com,943-139-7246,97054 Texas Parkway,shipped
141,Iver Heiss,Muffin Hinge 117n,clothing,30,175.34,0.45,7/17/2021,debit card,Haleigh Blaxeland,hblaxeland3w@123-reg.co.uk,765-910-8638,49230 Porter Circle,delivered
142,Shaylynn Bon,Pie Filling - Cherry,clothing,90,280.23,0.2,10/28/2021,credit card,Mathe Tuplin,mtuplin3x@nhs.uk,354-432-7960,0972 Hermina Center,pending
143,Cynthea Picford,Pie Shell - 9,electronics,50,910.46,0.23,9/27/2021,cash,Birgit Guiett,bguiett3y@surveymonkey.com,252-218-3154,501 Pankratz Court,delivered
144,Woodie Duesbury,"Extract - Vanilla,artificial",electronics,19,953.28,1,12/14/2020,debit card,Tuesday Twelves,ttwelves3z@a8.net,324-449-1038,12 Dapin Avenue,shipped
145,Sara Digby,Thyme - Dried,electronics,6,13.27,0.88,12/22/2021,credit card,Allyson Sillars,asillars40@weibo.com,175-795-2302,408 Rigney Junction,pending
146,Leanna Rowlstone,Tray - 12in Rnd Blk,clothing,3,704.83,0.56,11/28/2020,credit card,Sebastien Cullin,scullin41@over-blog.com,478-467-8944,884 Kenwood Way,shipped
147,Carola Revill,"Wine - Magnotta, Merlot Sr Vqa",electronics,43,87.32,0.49,11/1/2020,cash,Henka Hailes,hhailes42@nytimes.com,510-458-1324,31203 Glacier Hill Center,pending
148,Dalli Bisp,Cheese - Grana Padano,clothing,21,959.99,0.69,2/17/2021,credit card,Marline Wands,mwands43@sitemeter.com,450-488-2294,2 Roth Court,pending
149,Maren Bilam,Filling - Mince Meat,electronics,94,359.89,0.76,5/14/2021,cash,Wally Stapels,wstapels44@harvard.edu,419-554-3695,10 Glacier Hill Point,pending
150,Gabey Kinzel,Tea - Grapefruit Green Tea,electronics,3,265.23,0.46,8/18/2021,credit card,Nappy Sissland,nsissland45@goo.gl,373-920-9293,57662 Melody Lane,shipped
